股票代码,公司名称,营业总收入,营收同比增长率,净利润,净利润同比增长率,总资产,资产负债率,毛利率,净利率,员工人数,报告期
100,TCL科技,,,,,,,,,,
21,深科技,,,,,,,,,,
70,特发信息,,,,,,,,,,
536,华映科技,,,,,,,,,,
409,云鼎科技,,,,,,,,,,
538,云南白药,,,,,,,,,,
551,创元科技,,,,,,,,,,
555,神州信息,,,,,,,,,,
561,烽火电子,,,,,,,,,,
586,汇源通信,,,,,,,,,,
682,东方电子,,,,,,,,,,
700,模塑科技,,,,,,,,,,
707,双环科技,,,,,,,,,,
702,正虹科技,,,,,,,,,,
711,京蓝科技,,,,,,,,,,
727,冠捷科技,,,,,,,,,,
733,振华科技,,,,,,,,,,
777,中核科技,,,,,,,,,,
790,华神科技,,,,,,,,,,
807,云铝股份,,,,,,,,,,
810,创维数字,,,,,,,,,,
815,美利云,,,,,,,,,,
818,航锦科技,,,,,,,,,,
823,超声电子,,,,,,,,,,
878,云南铜业,,,,,,,,,,
901,航天科技,,,,,,,,,,
903,ST云动,,,,,,,,,,
920,沃顿科技,,,,,,,,,,
925,众合科技,,,,,,,,,,
930,中粮科技,,,,,,,,,,
948,南天信息,,,,,,,,,,
969,安泰科技,,,,,,,,,,
973,佛塑科技,,,,,,,,,,
977,浪潮信息,,,,,,,,,,
988,华工科技,,,,,,,,,,
1207,联科科技,,,,,,,,,,
1211,双枪科技,,,,,,,,,,
1229,魅视科技,,,,,,,,,,
1223,欧克科技,,,,,,,,,,
1231,农心科技,,,,,,,,,,
1237,惠康科技,,,,,,,,,,
1256,炜冈科技,,,,,,,,,,
1259,利仁科技,,,,,,,,,,
1266,宏英智能,,,,,,,,,,
1268,联合精密,,,,,,,,,,
1269,欧晶科技,,,,,,,,,,
1270,铖昌科技,,,,,,,,,,
1278,一彬科技,,,,,,,,,,
1283,豪鹏科技,,,,,,,,,,
1308,康冠科技,,,,,,,,,,
1306,夏厦精密,,,,,,,,,,
1301,尚太科技,,,,,,,,,,
1311,多利科技,,,,,,,,,,
1314,亿道信息,,,,,,,,,,
1324,长青科技,,,,,,,,,,
1336,楚环科技,,,,,,,,,,
1335,信凯科技,,,,,,,,,,
1339,智微智能,,,,,,,,,,
1365,天海电子,,,,,,,,,,
1379,腾达科技,,,,,,,,,,
1380,华纬科技,,,,,,,,,,
1388,信通电子,,,,,,,,,,
1389,广合科技,,,,,,,,,,
1396,誉帆科技,,,,,,,,,,
1400,江顺科技,,,,,,,,,,
2006,精工科技,,,,,,,,,,
2008,大族激光,,,,,,,,,,
2031,巨轮智能,,,,,,,,,,
2036,联创电子,,,,,,,,,,
2045,国光电器,,,,,,,,,,
2052,同洲电子,,,,,,,,,,
2053,云南能投,,,,,,,,,,
2059,云南旅游,,,,,,,,,,
2063,远光软件,,,,,,,,,,
2065,东华软件,,,,,,,,,,
2066,瑞泰科技,,,,,,,,,,
2080,中材科技,,,,,,,,,,
2090,金智科技,,,,,,,,,,
2093,国脉科技,,,,,,,,,,
2097,山河智能,,,,,,,,,,
2112,三变科技,,,,,,,,,,
2115,三维通信,,,,,,,,,,
2119,康强电子,,,,,,,,,,
2121,科陆电子,,,,,,,,,,
2123,梦网科技,,,,,,,,,,
2132,恒星科技,,,,,,,,,,
2138,顺络电子,,,,,,,,,,
2140,东华科技,,,,,,,,,,
2148,北纬科技,,,,,,,,,,
2153,石基信息,,,,,,,,,,
2157,正邦科技,,,,,,,,,,
2169,智光电气,,,,,,,,,,
2174,游族网络,,,,,,,,,,
2178,延华智能,,,,,,,,,,
2179,中航光电,,,,,,,,,,
2180,奔图科技,,,,,,,,,,
2185,华天科技,,,,,,,,,,
2190,成飞集成,,,,,,,,,,
2197,证通电子,,,,,,,,,,
2195,岩山科技,,,,,,,,,,
2199,东晶电子,,,,,,,,,,
2202,金风科技,,,,,,,,,,
2214,大立科技,,,,,,,,,,
2222,福晶科技,,,,,,,,,,
2238,天威视讯,,,,,,,,,,
2250,联化科技,,,,,,,,,,
2232,启明信息,,,,,,,,,,
2257,立立电子,,,,,,,,,,
2273,水晶光电,,,,,,,,,,
2261,拓维信息,,,,,,,,,,
2281,光迅科技,,,,,,,,,,
2289,宇顺电子,,,,,,,,,,
