股票代码,公司名称,总市值(亿),流通市值(亿),市盈率,市净率,涨跌幅(%),当前价,近期新闻,新闻数量
000021,深科技,4.04,48.73,598.02,4.49,1.53,37.74,深科技(000021.SZ) | 深科技股票_数据_资料_信息 — 东方财富网 | 深科技(000021)股票行情_深科技(000021)股票自动交易_最新消... | 深科技(000021)盘口异动_行情_走势图—东方财富网 | 深科技(000021)历史资金流向一览,5
000070,特发信息,5.28,-31.15,134.93,12.89,-1.01,15.75,特发信息股票_数据_资料_信息 — 东方财富网 | 特发信息(000070)盘口异动_行情_走势图—东方财富网 | 特发信息(000070)股票行情_特发信息(000070)股票自动交易_最... | 特发信息(000070.SZ) | 特发信息(000070)历史资金流向一览,5
000100,TCL科技,2.62,17.34,1023.85,1.66,2.62,5.09,"关于TCL-了解TCL的公司故事,领先科技,品牌荣誉等 | TCL官网 | TCL科技股票_数据_资料_信息 — 东方财富网 | TCL科技(000100.SZ) | TCL科技(000100)历史资金流向一览 | TCL科技(000100)盘口异动_行情_走势图—东方财富网",5
000536,华映科技,3.99,-9.9,99.47,18.45,1.69,3.6,,0
000538,云南白药,0.6,17.22,899.02,2.19,0.78,50.39,,0
000409,云鼎科技,0.72,77.32,52.32,3.61,0.91,8.86,云鼎科技股票_数据_资料_信息 — 东方财富网 | 云鼎科技(000409)历史资金流向一览 | 云鼎科技(000409.SZ) | 云鼎科技(000409)盘口异动_行情_走势图—东方财富网 | 云鼎科技(000409)业绩报表,5
000551,创元科技,1.77,19.58,61.32,2.0,1.12,12.66,,0
000555,神州信息,1.63,-81.44,105.88,1.94,1.5,10.86,,0
000561,烽火电子,0.74,-20.45,60.86,2.39,0.64,7.84,,0
000586,汇源通信,5.89,-139.41,26.19,8.4,-0.51,13.7,,0
000682,东方电子,0.71,15.18,153.63,2.46,-0.61,11.46,,0
000700,模塑科技,4.34,20.97,105.85,2.55,2.85,11.53,,0
000702,正虹科技,2.09,-73.95,19.97,6.15,0.17,5.76,,0
000707,双环科技,1.08,-15.55,25.94,1.02,-0.42,4.71,,0
000711,京蓝科技,7.62,-244.1,138.83,23.83,-5.76,5.89,,0
000733,振华科技,1.95,23.89,229.28,1.45,1.03,41.38,,0
000727,冠捷科技,1.45,-15.12,104.63,6.26,0.0,2.31,,0
000777,中核科技,1.15,42.52,66.06,2.61,0.0,17.23,,0
000810,创维数字,2.15,40.29,112.93,1.77,3.8,10.1,,0
000790,华神科技,2.78,-10.0,25.9,3.59,-1.19,4.16,,0
000807,云铝股份,1.79,8.57,940.15,2.46,-0.44,27.11,,0
000818,航锦科技,2.24,-70.65,82.41,3.77,0.89,12.52,,0
000815,美利云,7.48,145.02,115.34,8.14,1.65,16.59,,0
000823,超声电子,7.43,42.57,94.12,1.69,2.93,15.82,,0
000878,云南铜业,3.36,24.37,348.03,2.21,-2.69,17.37,,0
000901,航天科技,1.56,685.27,111.99,2.65,1.67,14.03,,0
000903,ST云动,0.63,-3.62,36.48,7.56,0.53,1.9,,0
000920,沃顿科技,1.37,24.17,55.29,2.73,0.95,11.7,,0
000925,众合科技,13.73,-535.49,62.89,1.97,-0.11,9.37,,0
000930,中粮科技,1.77,-38.74,92.26,0.9,-3.31,4.97,,0
000948,南天信息,2.77,102.63,56.07,2.05,0.7,14.41,,0
000969,安泰科技,4.24,44.91,187.45,3.24,4.04,18.01,,0
000973,佛塑科技,4.73,33.56,132.64,3.4,-3.03,13.11,,0
000977,浪潮信息,7.95,27.4,1249.52,5.1,9.99,85.18,,0
000988,华工科技,3.49,60.34,1052.72,8.81,1.77,104.75,,0
001207,联科科技,2.17,17.91,51.03,2.19,3.2,17.44,,0
001229,魅视科技,5.4,103.02,28.93,5.63,-2.15,39.22,,0
001211,双枪科技,3.15,-58478.68,22.35,2.77,2.18,23.94,,0
001223,欧克科技,2.73,-502.34,28.69,2.83,4.24,41.08,,0
001256,炜冈科技,3.77,13.84,25.2,2.41,2.97,23.57,,0
001231,农心科技,3.91,30.82,11.35,2.13,0.86,22.28,,0
001237,惠康科技,2.84,20.9,18.09,2.26,0.0,51.91,,0
001266,宏英智能,4.47,83.85,20.05,3.71,-0.49,34.48,,0
001268,联合精密,7.18,-416.7,24.45,4.0,0.43,25.92,,0
001259,利仁科技,2.05,326.77,22.82,4.9,4.69,48.0,,0
001270,铖昌科技,2.91,153.56,208.69,13.28,2.21,101.9,,0
001278,一彬科技,2.35,-13.84,14.18,1.86,2.28,16.62,,0
001269,欧晶科技,0.87,-15.04,37.71,5.9,0.51,19.6,,0
001301,尚太科技,1.84,24.52,151.52,2.95,-1.02,58.25,,0
001283,豪鹏科技,4.03,26.86,49.11,1.7,3.13,47.5,,0
001306,夏厦精密,4.04,-37.92,8.46,2.73,2.44,54.58,,0
001308,康冠科技,0.32,29.47,96.24,1.64,0.88,18.25,,0
